Company,Job Title,Link
Dalus (YC W25),Dalus (YC W25) Is Hiring a Senior Software Engineer in Germany,https://www.ycombinator.com/companies/dalus/jobs/5IDmKJt-senior-software-frontend-engineer-germany-office
Hazel (YC W24),Hazel (YC W24) Is Hiring a Full Stack Engineer,https://www.ycombinator.com/companies/hazel-2/jobs/3epPWgu-full-stack-engineer-ts-sci
Emerge Career (YC S22),Emerge Career (YC S22) Is Hiring a Founding Growth Marketer,https://www.ycombinator.com/companies/emerge-career/jobs/v0S1AEG-founding-growth-marketer
GoGoGrandparent (YC S16),GoGoGrandparent (YC S16) is hiring Back end Engineers,https://www.ycombinator.com/companies/gogograndparent/jobs/2vbzAw8-backend-engineer
Proliferate (YC S25),Proliferate (YC S25) is hiring to building open source Codex,https://www.ycombinator.com/companies/proliferate/jobs/L3copvK-founding-engineer
9 Mothers (YC P26),9 Mothers (YC P26) Is Hiring,https://9mothers.com/careers
Mbodi AI (YC P25),Mbodi AI (YC P25) Is Hiring Founding Machine Learning Engineer (Robotics),https://www.ycombinator.com/companies/mbodi-ai/jobs/WYAcNkX-founding-machine-learning-engineer
"Nango (YC W23, dev infra)","Nango (YC W23, dev infra) is hiring staff back end engineers",https://nango.dev/careers
Zettascale (YC S24),Zettascale (YC S24) Is Hiring Founding FPGA Engineers,https://www.ycombinator.com/companies/zettascale/jobs/O9S1vqO-founding-engineer-fpga-rtl-asic-architect
AccessOwl (YC S22),AccessOwl (YC S22) is hiring an AI TypeScript Engineer to connect 300 SaaS tools,https://www.ycombinator.com/companies/accessowl/jobs/hfWAhVp-ai-enabled-senior-software-engineer-typescript-focus
Skyvern (YC S23),Skyvern (YC S23) Is Hiring Open-Source Loving DevRel Engineers,https://www.ycombinator.com/companies/skyvern/jobs/1qRTlVx-founding-developer-marketing-open-source-ai
Piramidal (YC W24) – Software Engineers – NYC Onsite,Piramidal (YC W24) – Software Engineers – NYC Onsite,item?id=48382853
Great Question (YC W21),Great Question (YC W21) Is Hiring Applied AI Interns,https://www.ycombinator.com/companies/great-question/jobs/J5TNvQH-ai-engineer-intern
Telli (YC F24),"Telli (YC F24) is hiring in engineering, design, and GTM [Berlin, on-site]",https://hi.telli.com/join-us
Cedana (YC S23),Cedana (YC S23) Is Hiring,https://www.ycombinator.com/companies/cedana/jobs/d1vYocG-forward-deployed-engineer-ai-hpc
RamAIn (YC W26),RamAIn (YC W26) Is Hiring,https://www.ycombinator.com/companies/ramain/jobs/hqvmyKN-founding-gtm-engineer
Pelica (YC P25),Pelica (YC P25) Is Hiring,https://www.ycombinator.com/companies/pelica/jobs/MDeC49o-machine-learning-engineer
Reflex (YC W23),"Reflex (YC W23) Is Hiring SWEs, Growth, and GTM Roles",https://www.ycombinator.com/companies/reflex/jobs
Sage Care (YC S24),Sage Care (YC S24) Is Hiring Software Engineers,https://www.ycombinator.com/companies/sagecare/jobs/xtloH8r-senior-software-engineer
Weave (YC W25),"Weave (YC W25) is hiring ML, AI, product, & design engineers",https://jobs.ashbyhq.com/workweave
RentFlow (YC S24),RentFlow (YC S24) Is Hiring,https://www.ycombinator.com/companies/rentflow/jobs/V2yneIE-senior-ai-ml-lead
Hive (YC S14),Hive (YC S14) is hiring sr back-end developers (CA/US remote OK),https://jobs.ashbyhq.com/hive.co/538c47f9-d008-49b7-b0d4-583d9294a481
Flick (YC F25),Flick (YC F25) Is Hiring Front End Engineer to Build Figma for AI Filmmaking,https://www.ycombinator.com/companies/flick/jobs/Tdu6FH6-senior-frontend-engineer
Circle Medical (YC S15),Circle Medical (YC S15) Is Hiring a Mobile Engineer,https://www.ycombinator.com/companies/circle-medical/jobs/onMKAG9-mobile-engineer-android
ParadeDB (YC S23),ParadeDB (YC S23) Is Hiring Distributed Systems/Platform Engineers,item?id=48225852
Cekura (YC F24),Cekura (YC F24) Is Hiring,https://www.ycombinator.com/companies/cekura-ai/jobs/AiWwUxI-forward-deployed-engineer-us
Typewise (YC S22),Typewise (YC S22) Is Hiring an AI Growth Engineer (Zurich or Remote),https://www.ycombinator.com/companies/typewise/jobs/HmCzfBK-ai-growth-engineer
Kyber (YC W23),Kyber (YC W23) Is Hiring a Founding Marketer,https://www.ycombinator.com/companies/kyber/jobs/1rLQAro-founding-marketer-content-community
Hightouch (YC S19),Hightouch (YC S19) Is Hiring,https://hightouch.com/careers
"SigNoz (YC W21, open source Datadog) Is hiring for growth and engineering roles","SigNoz (YC W21, open source Datadog) Is hiring for growth and engineering roles",https://signoz.io/careers
